source,trip,driver,style,road,distance_km,wh_per_km_baseline,wh_per_km_anticipatory,saved_wh_per_km,saved_pct,regen_wh_baseline,regen_wh_anticipatory,soc_start,soc_end_baseline,soc_end_anticipatory,intervened,any_nan,oracle_upper_bound,simulation,prop_budget,accel_cap_mps2,brake_trigger_w,clip_rate,n_clipped,mean_clip_err_mps,max_clip_err_mps,distance_delta_pct
reference,UDDS,-,REFERENCE,UDDS,11.99,105.22,105.22,0.0,0.0,774.91,774.91,0.98,0.96761,0.96761,False,False,True,True,0.7,3.0,45000.0,0.0,0,0.0,0.0,0.0
reference,HWFET,-,REFERENCE,HWFET,16.507,107.74,107.74,0.0,0.0,270.69,270.69,0.98,0.96253,0.96253,False,False,True,True,0.7,3.0,45000.0,0.0,0,0.0,0.0,0.0
uah,20151110175712-16km-D1-NORMAL1-SECONDARY,D1,NORMAL,SECONDARY,16.634,139.41,138.09,1.32,0.95,410.34,353.04,0.98,0.95722,0.95744,True,False,True,True,0.7,3.0,45000.0,0.00801,5,8.5716,15.1111,-0.2119
uah,20151110180824-16km-D1-NORMAL2-SECONDARY,D1,NORMAL,SECONDARY,16.121,137.8,137.58,0.22,0.16,235.93,228.3,0.98,0.95818,0.95822,True,False,True,True,0.7,3.0,45000.0,0.01116,7,8.5405,15.25,-0.3228
uah,20151111123124-25km-D1-NORMAL-MOTORWAY,D1,NORMAL,MOTORWAY,25.666,147.71,147.51,0.2,0.14,545.18,531.78,0.98,0.94276,0.9428,True,False,True,True,0.7,3.0,45000.0,0.0081,7,11.3035,18.4597,-0.3074
uah,20151111125233-24km-D1-AGGRESSIVE-MOTORWAY,D1,AGGRESSIVE,MOTORWAY,24.47,181.98,179.22,2.76,1.52,868.05,707.87,0.98,0.93626,0.93711,True,False,True,True,0.7,3.0,45000.0,0.01357,10,12.4071,23.4722,-0.4572
uah,20151111132348-25km-D1-DROWSY-MOTORWAY,D1,DROWSY,MOTORWAY,25.259,137.23,135.59,1.64,1.2,648.14,546.39,0.98,0.94595,0.94641,True,False,True,True,0.7,3.0,45000.0,0.00852,8,8.9892,16.8611,-0.284
uah,20151111134545-16km-D1-AGGRESSIVE-SECONDARY,D1,AGGRESSIVE,SECONDARY,15.913,158.87,156.35,2.52,1.59,481.62,389.55,0.98,0.95517,0.9556,True,False,True,True,0.7,3.0,45000.0,0.01942,10,12.5451,24.8889,-0.7055
uah,20151111135612-13km-D1-DROWSY-SECONDARY,D1,DROWSY,SECONDARY,13.303,143.95,142.56,1.39,0.97,283.94,245.17,0.98,0.96119,0.9614,True,False,True,True,0.7,3.0,45000.0,0.01397,7,8.6873,16.8889,-0.3925
uah,20151120131714-26km-D2-NORMAL-MOTORWAY,D2,NORMAL,MOTORWAY,25.574,140.2,138.93,1.27,0.91,1001.89,914.49,0.98,0.94478,0.94511,True,False,True,True,0.7,3.0,45000.0,0.00857,8,8.0541,14.7778,-0.2226
uah,20151120133502-26km-D2-AGGRESSIVE-MOTORWAY,D2,AGGRESSIVE,MOTORWAY,25.5,166.2,161.42,4.78,2.88,1829.01,1519.56,0.98,0.93837,0.93981,True,False,True,True,0.7,3.0,45000.0,0.01054,9,9.7529,19.1111,-0.3059
uah,20151120160904-16km-D2-NORMAL1-SECONDARY,D2,NORMAL,SECONDARY,16.282,125.73,124.24,1.49,1.19,457.88,397.56,0.98,0.95989,0.96016,True,False,True,True,0.7,3.0,45000.0,0.01094,7,9.7724,18.0278,-0.3636
